approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
IE351,ABP Bandon,"Kilbrogan, Bandon, Co Cork. P72 NC86","NC86 Kilbrogan, Bandon, Co. Cork",P72,"County Cork,Munster",Ireland,EU-EFTA,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
IE300,ABP Cahir,"Kilcommon, Cahir Co. Tipperary",Co. Tipperary,,"County Tipperary,Munster",Ireland,EU-EFTA,RM,CP SH,Y,bovine,CP - Cutting Plant | SH - Slaughterhouse,,
IE378,ABP Clones,"Teehill, Clones, Co Monaghan, Ireland H23 HP21","HP21 Teehill, Clones, Co. Monaghan",H23,County Monaghan,Ireland,EU-EFTA,RM,CP SH,Y,bovine,CP - Cutting Plant | SH - Slaughterhouse,,
IE354,ABP Rathkeale,"Holycross, Rathkeale V94PK75",Co. Limerick,,"County Limerick,Munster",Ireland,EU-EFTA,RM,CP SH,Y,bovine,CP - Cutting Plant | SH - Slaughterhouse,,
IE344,ABP Waterford,"Christendom, Ferrybank, Waterford X91 KN63",KN63 Co. Waterford,X91,"County Waterford,Munster",Ireland,EU-EFTA,RM,CP SH,Y,bovine,CP - Cutting Plant | SH - Slaughterhouse,,
IE2983,ASBA Meats,"Unit 2 Beech Park Logistic Centre, Smithstown Industrial Estate, Shannon. V14 NI52",Co. Clare,,"County Clare,Munster",Ireland,EU-EFTA,RM,CP,N,bovine caprine ovine,CP - Cutting Plant,,
IE3009,Amber Ring Europe Ltd,"Unit 2, Rathangan Industrial est. Co. Kildare R51 TH24",TH24 Co. Kildare,R51,"County Kildare,Leinster",Ireland,EU-EFTA,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
IE2950,Andarl Farm Ltd,Andarl Farm Moneen Industrial Estate Castlebar F23 X621,Co. Mayo,,"County Mayo,Connacht",Ireland,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
IE290,Anglo Beef Processors Ireland UC T/A ABP Nenagh,"Grange, Nenagh, Co. Tipperary E45 WN93",WN93 Nenagh,E45,"County Tipperary,Munster",Ireland,EU-EFTA,RM,CP SH,Y,bovine,CP - Cutting Plant | SH - Slaughterhouse,,
IE296,Anglo Beef Processors Ireland UC T/A ABP Slaney,"Ryland Lower, Bunclody, Enniscorthy, Co. Wexford. Y21 E1T6","E1T6 Ryland Lower, Bunclody, Co. Wexford",Y21,"County Wexford,Leinster",Ireland,EU-EFTA,RM,CP SH,Y,bovine,CP - Cutting Plant | SH - Slaughterhouse,,
IE367,Anglo Beef Processors Ireland UC T/A Irish Country Meats Camolin,"Baylands, Camolin, Enniscorthy,. Y21 XN40",PN52 Co. Wexford,Y35,"County Wexford,Leinster",Ireland,EU-EFTA,RM,CP SH,Y,bovine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
IE363,Anglo Beef Processors Ireland UC T/A Irish Country Meats Navan,Mullaghboy Industrial Estate Navan Co Meath C15 VP46,Co. Meath,,"County Meath,Leinster",Ireland,EU-EFTA,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
IE2440,Anthony McGettigan (McGettigan's Butchers),Main Street Milford F92YO9V,Co. Donegal,,County Donegal,Ireland,EU-EFTA,RM,SH,Y,bovine caprine ovine porcine,SH - Slaughterhouse,,
IE600,Asba Meats Ennis,"Drumquin, Tiermaclane, Ennis,",Co. Clare,,"County Clare,Munster",Ireland,EU-EFTA,RM,SH,Y,bovine ovine,SH - Slaughterhouse,,
IE512,Asbourne Meat Processors (Naas),"Naas Industrial Estate, Naas, Co. Kildare, W91W0HD",Co. Kildare,,"County Kildare,Leinster",Ireland,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
IE382,Ashbourne Meats Roscrea U.C.,"Castleholding, Roscrea, E53 NP23",Co. Tipperary,,"County Tipperary,Munster",Ireland,EU-EFTA,RM,SH,Y,,SH - Slaughterhouse,,
IE2664EC,Ashgrove Wholesale Ltd,"Dually, Newcastle West, V42 XN81",Co. Limerick,,"County Limerick,Munster",Ireland,EU-EFTA,RM,CP SH,Y,bovine caprine ovine,CP - Cutting Plant | SH - Slaughterhouse,,
IE2781,Bailey Foods,Slaughter House Lane Upper William Street Limerick Rosehill Newport,YX57 Co. Limerick,V94,"County Limerick,Munster",Ireland,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
IE395EC,Ballaghadereen Bacon Factory Ltd,"Magherboy, Sligo Road, Ballaghaderreen, Co. Roscommon F45 WN27",Co. Roscommon,,"County Roscommon,Connacht",Ireland,EU-EFTA,RM,SH,Y,,SH - Slaughterhouse,,
IE395,Ballaghaderreen Bacon Factory,"Magheraboy, Ballaghaderreen, Co. Roscommon","WN27 Magheraboy, Ballaghaderreen, Co. Roscommon",F45,"County Roscommon,Connacht",Ireland,EU-EFTA,RM,SH CP,Y,porcine bovine,SH - Slaughterhouse | CP - Cutting Plant,,
IE392,Ballon Meats,"Raheenkillane, Ballon, Co. Carlow R93 A4T1","A4T1 Raheenkillane, Ballon, Co. Carlow",R93,"County Carlow,Leinster",Ireland,EU-EFTA,RM,SH,Y,,SH - Slaughterhouse,,
